policyID,statecode2,county2,eq_site_limit2,hu_site_limit2,fl_site_limit2,fr_site_limit2,tiv_2011_2,tiv_2012_2
477786,FL,NASSAU COUNTY,2115760.5,2115760.5,0,0,2115760.5,3057739.39
265907,FL,NASSAU COUNTY,0,93548.58,0,0,93548.58,118401.07
107560,FL,NASSAU COUNTY,0,1037311.14,0,0,1037311.14,1487255.23
908183,FL,NASSAU COUNTY,0,15463.3,0,0,15463.3,11825.56
356024,FL,NASSAU COUNTY,0,13893.35,0,0,13893.35,13988.5
575299,FL,NASSAU COUNTY,0,316618.23,0,0,316618.23,230328.99
790478,FL,NASSAU COUNTY,0,54834.66,0,0,54834.66,63053.72
801776,FL,NASSAU COUNTY,0,295269.11,0,0,295269.11,488965.65
291781,FL,NASSAU COUNTY,0,723734.17,0,0,723734.17,955908.09
537286,FL,NASSAU COUNTY,0,1741572,0,1741572,1741572,1455184.42
289305,FL,COLUMBIA COUNTY,135450,135450,135450,135450,135450,164978.1
697409,FL,COLUMBIA COUNTY,60300,60300,60300,60300,60300,77678.46
633944,FL,COLUMBIA COUNTY,22500,22500,22500,22500,22500,19501.76
963511,FL,COLUMBIA COUNTY,0,34212.42,0,0,34212.42,33250.37
729649,FL,COLUMBIA COUNTY,0,460128.2,0,0,460128.2,626142.46
862584,FL,COLUMBIA COUNTY,0,32169.69,0,0,32169.69,37291.11
371891,FL,COLUMBIA COUNTY,0,50550.75,0,0,50550.75,49526.38
785595,FL,COLUMBIA COUNTY,42300,42300,42300,42300,42300,53762.62
567696,FL,COLUMBIA COUNTY,0,10171.26,0,0,10171.26,16798.29
219025,FL,COLUMBIA COUNTY,0,155342.88,0,0,155342.88,176189.89
447216,FL,COLUMBIA COUNTY,0,3698.64,0,0,3698.64,4424.48
305141,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4525.86
625575,FL,COLUMBIA COUNTY,0,33287.76,0,0,33287.76,27375.62
262109,FL,COLUMBIA COUNTY,0,21267.18,0,0,21267.18,24840.49
228457,FL,COLUMBIA COUNTY,0,729556.74,0,0,729556.74,889825.76
622799,FL,COLUMBIA COUNTY,0,350446.14,0,0,350446.14,438049.26
233271,FL,COLUMBIA COUNTY,0,2135964.6,0,2135964.6,2135964.6,1728721.59
932950,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4782.1
641952,FL,COLUMBIA COUNTY,0,2469639.6,0,2469639.6,2469639.6,2708463.63
796260,FL,COLUMBIA COUNTY,0,914073.3,0,914073.3,914073.3,1296439.3
301822,FL,COLUMBIA COUNTY,0,3042940.5,0,3042940.5,3042940.5,3181868.99
559927,FL,COLUMBIA COUNTY,0,234997.65,0,0,234997.65,255975.89
224400,FL,COLUMBIA COUNTY,0,912600,0,912600,912600,1147247.71
